Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Tilman Fertitta,4.6,United States,"Houston Rockets, entertainment",622,63,"Houston, Texas",United States,Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston",True
Luis Frias,4.6,Brazil,mobile payments,622,58,"Sao Paulo, Brazil",Brazil,,,,False
Peter Gassner,4.6,United States,software,622,56,"Pleasanton, California",United States,Married,2,"Bachelor of Science, Oregon State University",True
Vladimir Kim,4.6,Kazakhstan,mining,622,60,"Almaty, Kazakhstan",Kazakhstan,Married,3,,True
Li Weiguo,4.6,China,construction materials,622,56,"Beijing, China",China,Married,,,True
Denis O'Brien,4.6,Ireland,telecom,622,63,"Dublin, Ireland",Ireland,Married,4,"Master of Business Administration, Carroll School of Management",True
Miuccia Prada,4.6,Italy,luxury goods,622,71,"Milan, Italy",Italy,Married,2,"Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan",False
"Robert Rich, Jr.",4.6,United States,frozen foods,622,80,"Islamorada, Florida",United States,Married,4,"Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College",False
Abhay Vakil & family,4.6,India,paints,622,70,"Mumbai, India",India,Married,3,"Bachelor of Arts/Science, Bombay University; Bachelor of Arts/Science, Syracuse University",False
Paul-Heinz Wesjohann & family,4.6,Germany,chicken processing,622,77,"Rechterfeld, Germany",Germany,Married,4,,True
Ron Baron,4.5,United States,money management,638,77,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Bucknell University",True
Andre Esteves,4.5,Brazil,banking,638,52,"Sao paulo, Brazil",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",True
Jonathan Gray,4.5,United States,investments,638,51,"New York, New York",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Hu Baifan,4.5,China,pharmaceuticals,638,58,"Shaoxing, China",China,,,"Bachelor of Arts/Science, Shaoxing University; Master of Business Administration, Zhejiang University",True
Viatcheslav Kantor,4.5,Russia,"fertilizer, real estate",638,67,"London, United Kingdom",Russia,Married,5,"Ph.D, Moscow Aviation University",True
Min Kao & family,4.5,United States,navigation equipment,638,72,"Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",True
Friedrich Knapp,4.5,Germany,fashion retail,638,70,"Brunswick, Germany",Germany,Married,3,,True
Richard Li,4.5,Hong Kong,telecom,638,54,"Hong Kong, Hong Kong",Hong Kong,Single,3,"Drop Out, Stanford University",False
